"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
49,0,1,1,1,1,1,1,20210505,20210530
50,0,1,1,1,1,0,0,20210505,20210530
51,0,1,1,1,1,1,1,20210505,20210530
52,0,1,1,1,1,1,0,20210505,20210530
53,1,1,1,1,1,1,0,20210505,20210530
54,1,1,1,1,1,1,1,20210505,20210530
55,0,0,0,0,0,0,0,20210505,20210530
56,0,0,0,1,0,0,1,20210505,20210530
57,0,0,0,0,0,1,0,20210505,20210530
58,0,1,0,1,1,1,0,20210505,20210530
59,0,0,0,0,0,1,0,20210505,20210530
60,1,1,1,1,1,1,0,20210505,20210530
61,1,1,1,0,1,0,0,20210505,20210530
62,1,0,1,0,1,0,0,20210505,20210530
63,0,0,0,0,0,0,0,20210505,20210530
64,0,0,0,0,0,0,0,20210505,20210530
65,0,1,0,1,0,1,0,20210505,20210530
66,0,0,0,0,0,0,1,20210505,20210530
67,1,0,1,0,1,0,0,20210505,20210530
68,0,0,0,1,0,1,1,20210505,20210530
69,0,1,1,1,0,0,0,20210505,20210530
70,0,0,1,0,0,0,0,20210505,20210530
71,0,1,0,1,1,1,0,20210505,20210530
72,1,1,1,1,1,1,0,20210505,20210530
73,0,1,1,0,1,0,0,20210505,20210530
74,0,0,0,0,0,0,0,20210505,20210530
75,0,0,0,0,0,0,0,20210505,20210530
76,0,0,0,0,0,0,0,20210505,20210530
77,0,0,0,0,0,1,1,20210505,20210530
78,0,0,0,0,0,0,0,20210505,20210530
79,0,0,0,0,0,1,0,20210505,20210530
80,0,0,0,0,0,1,1,20210505,20210530
81,0,0,0,0,0,0,0,20210505,20210530
82,0,0,0,0,0,0,1,20210505,20210530
83,0,0,0,0,0,1,1,20210505,20210530
84,1,1,1,1,1,1,1,20210505,20210530
85,1,1,0,1,1,0,0,20210505,20210530
86,0,0,0,0,0,1,0,20210505,20210530
87,1,1,1,1,1,0,0,20210505,20210530
88,1,1,1,1,1,0,1,20210505,20210530
89,1,1,1,1,1,1,1,20210505,20210530
90,0,0,0,0,0,1,1,20210505,20210530
91,0,0,0,0,0,1,1,20210505,20210530
92,1,1,1,1,0,0,0,20210505,20210530
93,0,0,0,0,1,0,0,20210505,20210530
94,0,0,0,0,0,0,0,20210505,20210530
95,0,0,0,0,0,1,1,20210505,20210530
96,0,0,0,0,0,0,0,20210505,20210530
97,0,0,0,0,0,0,1,20210505,20210530
98,1,1,1,1,1,1,1,20210505,20210530
99,1,1,1,1,1,1,0,20210505,20210530
100,0,0,0,0,0,1,1,20210505,20210530
101,0,0,0,0,0,1,0,20210505,20210530
102,0,0,0,0,0,0,1,20210505,20210530
103,0,0,0,0,0,1,0,20210505,20210530
104,1,1,1,1,1,1,0,20210505,20210530
105,1,1,1,1,1,1,0,20210505,20210530
106,0,0,0,0,0,0,1,20210505,20210530
107,1,1,1,1,1,1,0,20210505,20210530
108,0,0,0,0,0,0,0,20210505,20210530
109,1,1,1,1,1,1,0,20210505,20210530
110,1,1,1,1,1,0,1,20210505,20210530
111,1,1,1,1,1,0,1,20210505,20210530
112,0,0,0,0,1,0,0,20210505,20210530
113,1,1,1,0,0,0,0,20210505,20210530
114,0,0,0,0,0,0,1,20210505,20210530
115,0,0,0,0,0,0,0,20210505,20210530
116,0,0,0,0,0,1,1,20210505,20210530
117,0,0,0,0,0,0,0,20210505,20210530
118,0,0,0,0,1,1,0,20210505,20210530
119,1,1,1,1,1,1,1,20210505,20210530
120,1,1,1,1,1,0,0,20210505,20210530
121,0,0,0,0,0,1,1,20210505,20210530
122,1,1,1,1,1,1,1,20210505,20210530
123,0,0,0,0,0,1,1,20210505,20210530
124,0,0,0,0,0,1,0,20210505,20210530
125,0,1,1,1,1,0,0,20210505,20210530
126,0,1,1,1,1,1,1,20210505,20210530
127,1,1,1,1,1,1,1,20210505,20210530
128,0,0,0,0,0,0,0,20210505,20210530
129,0,0,0,0,0,0,0,20210505,20210530
130,1,1,1,1,1,1,1,20210505,20210530
131,0,0,0,0,0,0,0,20210505,20210530
132,1,1,1,1,1,0,0,20210505,20210530
133,0,0,0,0,0,1,1,20210505,20210530
134,1,1,1,1,1,1,1,20210505,20210530
135,1,1,1,1,1,1,1,20210505,20210530
136,0,1,1,1,1,1,0,20210505,20210530
137,0,0,0,0,0,0,0,20210505,20210530
138,0,0,0,0,0,1,1,20210505,20210530
139,0,0,0,0,0,1,0,20210505,20210530
140,1,1,1,1,1,1,0,20210505,20210530
141,1,1,1,1,1,1,0,20210505,20210530
142,0,1,1,1,1,1,0,20210505,20210530
143,1,0,0,0,0,0,0,20210505,20210530
144,0,0,0,0,0,0,1,20210505,20210530
145,1,0,0,0,0,0,0,20210505,20210530
146,0,1,1,1,1,1,1,20210505,20210530
147,1,1,1,1,1,1,0,20210505,20210530
148,1,1,1,1,1,1,0,20210505,20210530
149,1,1,1,1,1,0,0,20210505,20210530
150,0,1,1,1,1,0,0,20210505,20210530
151,0,0,0,0,0,1,0,20210505,20210530
152,0,0,0,0,0,0,0,20210505,20210530
153,0,0,0,0,0,1,0,20210505,20210530
154,0,0,0,0,0,0,0,20210505,20210530
155,1,1,1,1,1,0,0,20210505,20210530
156,0,0,0,0,0,1,0,20210505,20210530
157,0,0,0,0,1,1,0,20210505,20210530
158,0,0,0,0,0,0,1,20210505,20210530
159,0,0,0,0,0,0,1,20210505,20210530
160,0,0,0,0,0,0,1,20210505,20210530
161,0,0,0,0,0,0,1,20210505,20210530
162,0,0,0,0,0,0,1,20210505,20210530
163,0,0,0,0,0,0,0,20210505,20210530
164,1,1,1,1,1,1,1,20210505,20210530
165,0,0,0,0,0,1,0,20210505,20210530
166,1,1,1,1,1,0,0,20210505,20210530
167,0,0,0,0,0,0,0,20210505,20210530
168,1,1,1,1,1,0,0,20210505,20210530
169,1,1,1,1,1,0,1,20210505,20210530
170,0,0,0,0,0,0,1,20210505,20210530
171,0,0,0,0,0,0,1,20210505,20210530
172,0,0,0,0,0,0,0,20210505,20210530
173,1,1,1,1,1,1,0,20210505,20210530
174,1,1,1,1,1,0,1,20210505,20210530
175,0,0,0,0,0,0,0,20210505,20210530
176,0,1,0,1,1,0,0,20210505,20210530
177,0,0,0,0,0,1,0,20210505,20210530
178,0,0,1,0,0,0,0,20210505,20210530
179,1,1,0,0,0,0,0,20210505,20210530
180,1,1,1,1,1,1,0,20210505,20210530
181,0,0,0,1,0,0,1,20210505,20210530
